Payment Amount,Budget Period,Agency,Payee, SUBSTRING(Account Cd FROM 1 FOR 5),Expense Category,Expense Type
2540353.03,2026,Department of Human Services, THE GARDENS AT FOLEY LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
208709.57,2026,Department of Human Services,1 ALPHA & OMEGA DIVINE CARE SYSTEM INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
319775.45,2026,Department of Human Services,1 BUSY BEE CARE SERVICES INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
145565.67,2026,Department of Human Services,1 NATION HOME CARE INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
1124533.96,2026,Department of Human Services,1 ON 1 COMPREHENSIVE HEALTHCARE SOLUTION,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
243640.73,2026,Department of Human Services,1 PLUS LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
474668.74,2026,Department of Human Services,1-DOMINION HOME HEALTH CARE INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
1179729.02,2026,Department of Human Services,180 DEGREES INC,44160,Aid-Grants to NGO,Grant Cont - Agree To Non-Gov
132843.69,2026,Department of Human Services,180 MEDICAL INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
5431.26,2026,Department of Human Services,1CARE SERVICES LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
58474.15,2026,Department of Human Services,1ST ALTERNATIVE CARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
333852.63,2026,Department of Human Services,1ST ASSURED CARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
1096753.31,2026,Department of Human Services,1ST ATTENTIVE SERVICES LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
430508.54,2026,Department of Human Services,1ST CARE INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
77640.47,2026,Department of Human Services,1ST CARE INC (245D),44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
443055.06,2026,Department of Human Services,1ST CHOICE CARE INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
117377.31,2026,Department of Human Services,1ST CHOICE HOME LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
5202249.02,2026,Department of Human Services,1ST CHOICE PCA SERVICES,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
79763.03,2026,Department of Human Services,1ST CHOICE4ALL HOME CARE INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
507129.4,2026,Department of Human Services,1ST GRADE CARE INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
400,2026,Department of Human Services,1ST STEP HOUSING CONSULTANT,44160,Aid-Grants to NGO,Grant Cont - Agree To Non-Gov
396508.76,2026,Department of Human Services,1WISH HOME HEALTH CARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
368997.44,2026,Department of Human Services,218 HOUSING,44100,Pmt To Indiv-Med-Rehab Client,Other Non-Med Svc Pd To Vendor
1342903.85,2026,Department of Human Services,24 SEVEN HOME CARE INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
279517.29,2026,Department of Human Services,2CARE4U LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
241719.37,2026,Department of Human Services,"2CARE4U SOUTH, LLC",44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
720.96,2026,Department of Human Services,2NDCHANCEPROJECT,44100,Pmt To Indiv-Med-Rehab Client,Medical Services Pd To Vendors
13896.93,2026,Department of Human Services,2NDCHANCEPROJECT,44160,Aid-Grants to NGO,Grant Cont - Agree To Non-Gov
527379.59,2026,Department of Human Services,360 COMMUNITIES,44160,Aid-Grants to NGO,Grant Cont - Agree To Non-Gov
24453.18,2026,Department of Human Services,360 HOUSING STABILITY,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
471330.22,2026,Department of Human Services,3CARE HEALTH LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
259515.61,2026,Department of Human Services,3D INNOVATIVE CARES LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
1839450.78,2026,Department of Human Services,3H CARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
625643.33,2026,Department of Human Services,3MB HEALTH SERVICES LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
2794.5,2026,Department of Human Services,3PLAY MEDIA INC,43000,Other Operating Costs,Other Purchased Services
897276.91,2026,Department of Human Services,4 U HOME HEALTH CARE,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
1224436.86,2026,Department of Human Services,4ABC HOME CARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
687429.13,2026,Department of Human Services,4SEASONS COMFORTCARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
864387.19,2026,Department of Human Services,4U HOME HEALTH CARE,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
258323.07,2026,Department of Human Services,4U HOME HEALTH CARE SOUTH LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
5000,2026,Department of Human Services,5 BY 5 DESIGN,41132,Prof-Tech Serv-Outside Vend,Outside Vendor Other Services
18995.36,2026,Department of Human Services,6095 52 AUSTIN ALBERT LEA AREA,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
6267.5,2026,Department of Human Services,6095 52 AUSTIN ALBERT LEA AREA,44142,Aid-Grants to School Districts,Grant Cont - Agree Schs < 25K
1502341.83,2026,Department of Human Services,A & E HOMES INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
395969.19,2026,Department of Human Services,A & L HEALTH SERVICES,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
16163.31,2026,Department of Human Services,A & S DRUGS LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
384977.54,2026,Department of Human Services,A & S HOME HEALTH CARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
285917.86,2026,Department of Human Services,A 2 Z HOME CARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
620561.28,2026,Department of Human Services,A CARING COMPANY INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
196107.93,2026,Department of Human Services,A CARING LIVING LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
345,2026,Department of Human Services,A CHANCE TO GROW,41132,Prof-Tech Serv-Outside Vend,Outside Vendor Other Services
2353915.39,2026,Department of Human Services,A CHANCE TO GROW,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
274430.11,2026,Department of Human Services,A DAUGHTERS LOVE INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
151028.28,2026,Department of Human Services,A FUTURE GOALS INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
1003213.38,2026,Department of Human Services,A HELPING HAND SENIOR CARE SERVICES LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
21351.56,2026,Department of Human Services,A HOME FOR THE DAY LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
732513.43,2026,Department of Human Services,A JANESVILLE SENIOR LIVING LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
1552549.07,2026,Department of Human Services,A NEW DIRECTION INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
1407609.97,2026,Department of Human Services,A PEACEFUL HOME CARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
228650.19,2026,Department of Human Services,A PLACE CALLED HOME,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
333713.33,2026,Department of Human Services,A PLACE FOR YOU,44160,Aid-Grants to NGO,Grant Cont - Agree To Non-Gov
48247.64,2026,Department of Human Services,A PLUS ASSISTED LIVING,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
2212010.62,2026,Department of Human Services,A PLUS HOME CARE INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
536794.47,2026,Department of Human Services,A PLUS RESIDENTIAL HOMES LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
699083.22,2026,Department of Human Services,A QUALITY CARE,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
72517.1,2026,Department of Human Services,A STABLE PLACE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
227859.09,2026,Department of Human Services,A STEP AHEAD HOME HEALTH CARE CORP,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
254209.2,2026,Department of Human Services,A STRONGER SOBER HOUSE,44100,Pmt To Indiv-Med-Rehab Client,Medical Services Pd To Vendors
2199.9,2026,Department of Human Services,A TIME FOR HEALING,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
13212.55,2026,Department of Human Services,A WILLOW BENDS LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
5383286.38,2026,Department of Human Services,A&A RELIABLE HOME HEALTH CARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
4626.2,2026,Department of Human Services,A&H HOME HEALTH CARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
220940.7,2026,Department of Human Services,A&S ALLIANCE HOME CARE LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
89098.26,2026,Department of Human Services,A1 QUALITY LIVING LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
18290.08,2026,Department of Human Services,AA HOME HEALTH CARE INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
1782130.38,2026,Department of Human Services,AA HOME HEALTH INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
316464.24,2026,Department of Human Services,AA SOCIAL SERVICES LLC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
359155.11,2026,Department of Human Services,AAA BEST CARE INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
313190.71,2026,Department of Human Services,AAA CARE CENTER INC,44100,Pmt To Indiv-Med-Rehab Client,Medical Assistance - Dhs
